DEL,NRM,M,CSL,UNI,l
DEL,NRM,M,CSL,DUP,ll
DEL,NRM,M,CSL,DCT,tļ
DEL,NRM,M,CSL,AGG,ļ
DEL,NRM,M,CSL,SEG,ļļ
DEL,NRM,M,CSL,CPN,řļ
DEL,NRM,M,CSL,COH,sk
DEL,NRM,M,CSL,CST,šk
DEL,NRM,M,CSL,MLT,kţ
DEL,NRM,M,ASO,UNI,r
DEL,NRM,M,ASO,DUP,rr
DEL,NRM,M,ASO,DCT,lļ
DEL,NRM,M,ASO,AGG,rl
DEL,NRM,M,ASO,SEG,rļ
DEL,NRM,M,ASO,CPN,řl
DEL,NRM,M,ASO,COH,st
DEL,NRM,M,ASO,CST,št
DEL,NRM,M,ASO,MLT,kç
DEL,NRM,M,VAR,UNI,m
DEL,NRM,M,VAR,DUP,mm
DEL,NRM,M,VAR,DCT,lm
DEL,NRM,M,VAR,AGG,rm
DEL,NRM,M,VAR,SEG,mļ
DEL,NRM,M,VAR,CPN,řm
DEL,NRM,M,VAR,COH,sp
DEL,NRM,M,VAR,CST,šp
DEL,NRM,M,VAR,MLT,pţ
DEL,NRM,M,COA,UNI,n
DEL,NRM,M,COA,DUP,nn
DEL,NRM,M,COA,DCT,ln
DEL,NRM,M,COA,AGG,rn
DEL,NRM,M,COA,SEG,nļ
DEL,NRM,M,COA,CPN,řn
DEL,NRM,M,COA,COH,sq
DEL,NRM,M,COA,CST,šq
DEL,NRM,M,COA,MLT,qţ
DEL,NRM,U,CSL,UNI,t
DEL,NRM,U,CSL,DUP,ļt
DEL,NRM,U,CSL,DCT,lt
DEL,NRM,U,CSL,AGG,rt
DEL,NRM,U,CSL,SEG,nt
DEL,NRM,U,CSL,CPN,řt
DEL,NRM,U,CSL,COH,ňt
DEL,NRM,U,CSL,CST,ňd
DEL,NRM,U,CSL,MLT,çt
DEL,NRM,U,ASO,UNI,k
DEL,NRM,U,ASO,DUP,ļk
DEL,NRM,U,ASO,DCT,lk
DEL,NRM,U,ASO,AGG,rk
DEL,NRM,U,ASO,SEG,ňk
DEL,NRM,U,ASO,CPN,řk
DEL,NRM,U,ASO,COH,kt
DEL,NRM,U,ASO,CST,xt
DEL,NRM,U,ASO,MLT,çk
DEL,NRM,U,VAR,UNI,p
DEL,NRM,U,VAR,DUP,ļp
DEL,NRM,U,VAR,DCT,lp
DEL,NRM,U,VAR,AGG,rp
DEL,NRM,U,VAR,SEG,mp
DEL,NRM,U,VAR,CPN,řp
DEL,NRM,U,VAR,COH,pt
DEL,NRM,U,VAR,CST,ft
DEL,NRM,U,VAR,MLT,çp
DEL,NRM,U,COA,UNI,q
DEL,NRM,U,COA,DUP,ļq
DEL,NRM,U,COA,DCT,lq
DEL,NRM,U,COA,AGG,rq
DEL,NRM,U,COA,SEG,ňq
DEL,NRM,U,COA,CPN,řq
DEL,NRM,U,COA,COH,qt
DEL,NRM,U,COA,CST,xht
DEL,NRM,U,COA,MLT,çq
DEL,NRM,N,CSL,UNI,ţ
DEL,NRM,N,CSL,DUP,ţţ
DEL,NRM,N,CSL,DCT,lţ
DEL,NRM,N,CSL,AGG,rţ
DEL,NRM,N,CSL,SEG,nţ
DEL,NRM,N,CSL,CPN,řţ
DEL,NRM,N,CSL,COH,sţ
DEL,NRM,N,CSL,CST,šţ
DEL,NRM,N,CSL,MLT,tf
DEL,NRM,N,ASO,UNI,x
DEL,NRM,N,ASO,DUP,xx
DEL,NRM,N,ASO,DCT,lx
DEL,NRM,N,ASO,AGG,rx
DEL,NRM,N,ASO,SEG,ňx
DEL,NRM,N,ASO,CPN,mx
DEL,NRM,N,ASO,COH,sx
DEL,NRM,N,ASO,CST,šx
DEL,NRM,N,ASO,MLT,kf
DEL,NRM,N,VAR,UNI,f
DEL,NRM,N,VAR,DUP,ff
DEL,NRM,N,VAR,DCT,lf
DEL,NRM,N,VAR,AGG,rf
DEL,NRM,N,VAR,SEG,mf
DEL,NRM,N,VAR,CPN,řf
DEL,NRM,N,VAR,COH,sf
DEL,NRM,N,VAR,CST,šf
DEL,NRM,N,VAR,MLT,pf
DEL,NRM,N,COA,UNI,xh
DEL,NRM,N,COA,DUP,xxh
DEL,NRM,N,COA,DCT,lxh
DEL,NRM,N,COA,AGG,rxh
DEL,NRM,N,COA,SEG,ňxh
DEL,NRM,N,COA,CPN,mxh
DEL,NRM,N,COA,COH,sxh
DEL,NRM,N,COA,CST,šxh
DEL,NRM,N,COA,MLT,qf
DEL,NRM,A,CSL,UNI,c
DEL,NRM,A,CSL,DUP,cc
DEL,NRM,A,CSL,DCT,lc
DEL,NRM,A,CSL,AGG,rc
DEL,NRM,A,CSL,SEG,ns
DEL,NRM,A,CSL,CPN,řc
DEL,NRM,A,CSL,COH,sc
DEL,NRM,A,CSL,CST,fk
DEL,NRM,A,CSL,MLT,fq
DEL,NRM,A,ASO,UNI,č
DEL,NRM,A,ASO,DUP,čč
DEL,NRM,A,ASO,DCT,lč
DEL,NRM,A,ASO,AGG,rč
DEL,NRM,A,ASO,SEG,nš
DEL,NRM,A,ASO,CPN,řč
DEL,NRM,A,ASO,COH,šč
DEL,NRM,A,ASO,CST,ţk
DEL,NRM,A,ASO,MLT,ţq
DEL,NRM,A,VAR,UNI,ż
DEL,NRM,A,VAR,DUP,żż
DEL,NRM,A,VAR,DCT,lż
DEL,NRM,A,VAR,AGG,rż
DEL,NRM,A,VAR,SEG,nz
DEL,NRM,A,VAR,CPN,řż
DEL,NRM,A,VAR,COH,ţf
DEL,NRM,A,VAR,CST,ţs
